18933,1540525371434,1540525390367,
17913,1540525390367,1540525408280,
19081,1540525408280,1540525427361,
19615,1540525427361,1540525446976,
19521,1540525446976,1540525466497,
19088,1540525466497,1540525485585,
19562,1540525485585,1540525505147,
19676,1540525505147,1540525524823,
19591,1540525524823,1540525544414,
22232,1540525544414,1540525566646,
20684,1540525566646,1540525587330,
20021,1540525587330,1540525607351,
20656,1540525607351,1540525628007,
20847,1540525628007,1540525648854,
20930,1540525648854,1540525669784,
21122,1540525669784,1540525690906,
21510,1540525690906,1540525712416,
21985,1540525712416,1540525734401,
21639,1540525734401,1540525756040,
21521,1540525756040,1540525777561,
22008,1540525777561,1540525799569,
22045,1540525799569,1540525821614,
21986,1540525821614,1540525843600,
21015,1540525843600,1540525864615,
21613,1540525864615,1540525886228,
22561,1540525886228,1540525908789,
21536,1540525908789,1540525930325,
21192,1540525930325,1540525951517,
22150,1540525951517,1540525973667,
23252,1540525973667,1540525996919,
22278,1540525996919,1540526019197,
21572,1540526019197,1540526040769,
24111,1540526040769,1540526064880,
20825,1540526064880,1540526085705,
22195,1540526085705,1540526107900,
22470,1540526107900,1540526130370,
22606,1540526130370,1540526152976,
23142,1540526152976,1540526176118,
22373,1540526176118,1540526198491,
21367,1540526198491,1540526219858,
23192,1540526219858,1540526243050,
22076,1540526243050,1540526265126,
21820,1540526265126,1540526286946,
21103,1540526286946,1540526308049,
21482,1540526308049,1540526329531,
20211,1540526329531,1540526349742,
19684,1540526349742,1540526369426,
19642,1540526369426,1540526389068,
19942,1540526389068,1540526409010,
19722,1540526409010,1540526428732,
19194,1540526428732,1540526447926,
19006,1540526447926,1540526466932,
18756,1540526466932,1540526485688,
19055,1540526485688,1540526504743,
19265,1540526504743,1540526524008,
19238,1540526524008,1540526543246,
18998,1540526543246,1540526562244,
18844,1540526562244,1540526581088,
21207,1540526581088,1540526602295,
18683,1540526602295,1540526620978,
19521,1540526620978,1540526640499,
19746,1540526640499,1540526660245,
20157,1540526660245,1540526680402,
20113,1540526680402,1540526700515,
20193,1540526700515,1540526720708,
19385,1540526720708,1540526740093,
19281,1540526740093,1540526759374,
19966,1540526759374,1540526779340,
18924,1540526779340,1540526798264,
19335,1540526798264,1540526817599,
19385,1540526817599,1540526836984,
19332,1540526836984,1540526856316,
20378,1540526856316,1540526876694,
19396,1540526876694,1540526896090,
19297,1540526896090,1540526915387,
18599,1540526915387,1540526933986,
18628,1540526933986,1540526952614,
19279,1540526952614,1540526971893,
19293,1540526971893,1540526991186,
19081,1540526991186,1540527010267,
18250,1540527010267,1540527028517,
18701,1540527028517,1540527047218,
19337,1540527047218,1540527066555,
20042,1540527066555,1540527086597,
18621,1540527086597,1540527105218,
19865,1540527105218,1540527125083,
18999,1540527125083,1540527144082,
19318,1540527144082,1540527163400,
18857,1540527163400,1540527182257,
18523,1540527182257,1540527200780,
18323,1540527200780,1540527219103,
18543,1540527219103,1540527237646,
18177,1540527237646,1540527255823,
18296,1540527255823,1540527274119,
18310,1540527274119,1540527292429,
18118,1540527292429,1540527310547,
18148,1540527310547,1540527328695,
17987,1540527328695,1540527346682,
18238,1540527346682,1540527364920,
18081,1540527364920,1540527383001,
